recordDate,fiscalQuarter,productionDept,dayOfWeek,team,plannedEfficiency,standardMinuteValue,workInProgress,overtimeMinutes,performanceBonus,idleMinutes,idleWorkers,styleChangeCount,workerCount,efficiencyScore
2/24/2015,Q4,Stitching Unit,Tuesday,Line-S1,0.6,22.53,708,5040,0,0,0,Minor Style Revision,42,0.268214286
1/19/2015,Q3,Stitching Unit,Monday,Line-F3,0.8,11.41,1028,4380,50,0,0,No Style Change,31,0.800358775
01-06-2015,Q1, Finishing & Quality ,Tuesday,Line-C2,0.8,2.9,,1440,0,0,0,No Style Change,8,0.681060606
2/24/2015,Q4,Finishing & Quality,Tuesday,Line-S2,0.7,3.9,,960,0,0,0,No Style Change,8,0.325
01-04-2015,Q1, Finishing & Quality ,Sunday,Line-C1,0.8,2.9,,960,0,0,0,No Style Change,8,0.667604167
2/16/2015,Q3,Stitching Unit,Monday,Line-F2,0.8,30.1,461,0,0,0,0,No Style Change,59,0.800980392
2/26/2015,Q4,Finishing & Quality,Thursday,Line-S1,0.5,3.94,,3360,0,0,0,No Style Change,8,0.768847222
2/28/2015,Q4,Finishing & Quality,Saturday,Line-S1,0.5,3.94,,3360,0,0,0,No Style Change,8,0.768847222
1/24/2015,Q4,Stitching Unit,Saturday,Line-C1,0.65,22.52,1295,10170,26,0,0,No Style Change,56.5,0.650416734
03-05-2015,Q1,Stitching Unit,Thursday,Line-Q1,0.75,18.79,1228,6240,45,0,0,No Style Change,52,0.750395513
02-02-2015,Q1,Stitching Unit,Monday,Line-P1,0.7,20.55,9792,6480,60,0,0,No Style Change,54,0.700398148
01-04-2015,Q1, Finishing & Quality ,Sunday,Line-F1,0.8,3.94,,6600,0,0,0,No Style Change,20,0.861679012
01-04-2015,Q1,Stitching Unit,Sunday,Line-S1,0.8,26.16,1033,7080,63,0,0,No Style Change,59,0.800318644
2/19/2015,Q3,Finishing & Quality,Thursday,Line-S3,0.5,5.13,,2880,0,0,0,No Style Change,12,0.81640625
1/14/2015,Q2,Stitching Unit,Wednesday,Line-C1,0.8,25.9,1150,10170,70,0,0,No Style Change,56.5,0.900144811
01-11-2015,Q2, Finishing & Quality ,Sunday,Line-S3,0.75,4.15,,1440,0,0,0,No Style Change,8,0.93532197
02-12-2015,Q2,Stitching Unit,Thursday,Line-S2,0.8,22.52,1327,0,113,0,0,No Style Change,57.5,1.000344928
2/14/2015,Q2,Stitching Unit,Saturday,Line-P1,0.6,11.41,1039,2280,23,0,0,Major Design Shift,55,0.600447507
02-11-2015,Q2,Stitching Unit,Wednesday,Line-C2,0.6,30.1,1069,4560,30,0,0,Minor Style Revision,58,0.714410494
1/25/2015,Q4,Stitching Unit,Sunday,Line-F1,0.75,22.52,867,10260,94,0,0,No Style Change,57,0.900321106
02-11-2015,Q2,Stitching Unit,Wednesday,Line-S1,0.8,22.52,1498,0,113,0,0,No Style Change,57,1.000065789
02-03-2015,Q1,Stitching Unit,Tuesday,Line-F3,0.7,18.79,913,4020,30,0,0,No Style Change,33.5,0.700184577
02-08-2015,Q2,Finishing & Quality,Sunday,Line-S1,0.8,3.94,,1200,0,0,0,No Style Change,10,0.893066667
2/22/2015,Q4,Finishing & Quality,Sunday,Line-S1,0.8,3.94,,2880,0,0,0,No Style Change,12,0.727349537
01-07-2015,Q1, Finishing & Quality ,Wednesday,Line-S3,0.75,4.15,,2700,0,0,0,No Style Change,15,0.83
1/15/2015,Q3,Stitching Unit,Thursday,Line-S2,0.5,22.94,1044,9810,23,0,0,No Style Change,54.5,0.499998888
02-11-2015,Q2,Finishing & Quality,Wednesday,Line-C2,0.35,4.15,,1440,0,0,0,No Style Change,12,0.994375
2/15/2015,Q3,Stitching Unit,Sunday,Line-S1,0.8,22.52,1420,6840,113,0,0,No Style Change,57,1.000230409
2/22/2015,Q4,Stitching Unit,Sunday,Line-Q2,0.7,21.25,1531,6000,0,0,0,Minor Style Revision,50,0.456875
02-03-2015,Q1, Finishing & Quality ,Tuesday,Line-F1,0.8,4.3,,1440,0,0,0,No Style Change,12,0.5375
1/31/2015,Q5,Stitching Unit,Saturday,Line-Q2,0.8,22.52,1116,6720,93,0,0,No Style Change,56,0.920236905
2/23/2015,Q4,Stitching Unit,Monday,Line-P2,0.8,15.26,1060,4080,63,0,0,No Style Change,34,0.800401961
02-11-2015,Q2,Finishing & Quality,Wednesday,Line-S2,0.8,3.94,,2160,0,0,0,No Style Change,18,0.912037037
1/29/2015,Q5, Finishing & Quality ,Thursday,Line-P2,0.75,4.08,,1080,0,0,0,No Style Change,9,0.634666667
1/21/2015,Q3,Stitching Unit,Wednesday,Line-F2,0.7,20.4,1404,10440,50,0,0,No Style Change,58,0.750344828
02-03-2015,Q1,Stitching Unit,Tuesday,Line-C2,0.7,24.26,1363,6660,0,0,0,No Style Change,55.5,0.586465465
02-11-2015,Q2,Finishing & Quality,Wednesday,Line-F1,0.7,4.15,,1800,0,0,0,No Style Change,15,1.033155556
01-05-2015,Q1,Stitching Unit,Monday,Line-S1,0.8,26.16,1138,7080,63,0,0,No Style Change,59,0.800318644
2/18/2015,Q3,Stitching Unit,Wednesday,Line-P2,0.8,15.26,1095,4080,63,0,0,No Style Change,34,0.800401961
2/18/2015,Q3,Finishing & Quality,Wednesday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.549791667
1/22/2015,Q4,Stitching Unit,Thursday,Line-S1,0.7,22.94,1384,12180,63,0,0,No Style Change,57,0.750162367
01-07-2015,Q1,Stitching Unit,Wednesday,Line-Q1,0.8,26.16,1324,10620,75,0,0,No Style Change,59,0.850502311
03-04-2015,Q1,Finishing & Quality,Wednesday,Line-F2,0.7,4.6,,960,0,0,0,No Style Change,8,0.592083333
1/21/2015,Q3,Stitching Unit,Wednesday,Line-F1,0.75,22.52,825,10080,94,0,0,No Style Change,56,0.900556277
2/22/2015,Q4,Stitching Unit,Sunday,Line-F3,0.75,18.79,1055,3960,45,0,0,No Style Change,33,0.75065101
03-02-2015,Q1,Stitching Unit,Monday,Line-P2,0.8,15.26,1035,4080,63,0,0,No Style Change,34,0.800401961
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-Q1,0.7,2.9,,960,0,0,0,No Style Change,8,0.410833333
01-03-2015,Q1, Finishing & Quality ,Saturday,Line-S1,0.8,3.94,,960,0,0,0,No Style Change,8,0.902916667
01-04-2015,Q1,Stitching Unit,Sunday,Line-F3,0.8,11.61,539,6975,50,0,0,No Style Change,31,0.879714482
1/14/2015,Q2, Finishing & Quality ,Wednesday,Line-Q1,0.8,3.94,,1440,0,0,0,No Style Change,8,0.858143939
03-04-2015,Q1,Stitching Unit,Wednesday,Line-P1,0.8,11.41,433,0,38,0,0,No Style Change,56,0.800701754
03-09-2015,Q2,Stitching Unit,Monday,Line-S1,0.75,26.82,1322,7140,65,0,0,No Style Change,59,0.850426891
2/17/2015,Q3,Finishing & Quality,Tuesday,Line-F3,0.8,2.9,,960,0,0,0,No Style Change,8,0.749166667
01-10-2015,Q2,Stitching Unit,Saturday,Line-Q2,0.8,28.08,1082,10530,63,0,0,No Style Change,58.5,0.8
